i21,nis,is_presence,nps,nps_presence,gc,pop,latitude,longitude,county,state,e_dist,std_nis,std_nps,std_gc,std_pop
1,1,1,0,0,10,102855,39.562352,-75.941584,cecil,MD,7332.30387620096,0.17203865082619663,-0.6628472209944458,-0.3068491251390199,-0.44075197221378537
1,0,0,0,0,5,19422,39.239177,-76.1242,kent,MD,7334.60683727733,-1.0178953507216633,-0.6628472209944458,-0.852212666606657,-0.6424956777931468
1,1,1,2,1,34,524989,39.973965,-75.749732,chester,PA,7335.939775893048,0.17203865082619663,1.3938376142406572,2.310895873905638,0.5799817591759304
1,1,1,2,1,10,55809,41.325949,-75.031514,pike,PA,7337.562153882798,0.17203865082619663,1.3938376142406572,-0.3068491251390199,-0.5545107292126544
0,0,0,0,0,5,92525,38.521358,-76.525864,calvert,MD,7340.10288311066,-1.0178953507216633,-0.6628472209944458,-0.852212666606657,-0.4657302479396349
1,1,1,2,1,13,170271,41.056233,-75.329037,monroe,PA,7360.078083497658,0.17203865082619663,1.3938376142406572,0.02036899974156231,-0.27773789318824116
1,1,1,1,1,13,369318,40.614241,-75.590627,lehigh,PA,7363.45946225921,0.17203865082619663,0.36549519662310564,0.02036899974156231,0.20356422185562822
1,1,1,1,1,31,579234,38.993374,-76.560511,anne arundel,MD,7381.995060484998,0.17203865082619663,0.36549519662310564,1.9836777490250557,0.7111479321428915
1,1,1,0,0,18,255441,39.537429,-76.299789,harford,MD,7384.866093374562,0.17203865082619663,-0.6628472209944458,0.5657325412091994,-0.07179406515623689
1,2,1,2,1,27,421164,40.413957,-75.92686,berks,PA,7398.17598985745,1.3619726523740565,1.3938376142406572,1.5473869158509461,0.32892953485489196
0,1,1,1,1,7,44135,42.193987,-74.966728,delaware,NY,7400.342845982153,0.17203865082619663,0.36549519662310564,-0.6340672500196022,-0.5827388406186145
1,1,1,1,1,14,51361,41.646589,-75.292485,wayne,PA,7403.396672810146,0.17203865082619663,0.36549519662310564,0.12944170803508973,-0.5652661377730201
1,1,1,0,0,8,64182,40.917833,-75.709428,carbon,PA,7406.186545503073,0.17203865082619663,-0.6628472209944458,-0.5249945417260747,-0.5342645430894658
0,0,0,1,1,4,163257,38.472853,-77.015427,charles,MD,7411.536413951938,-1.0178953507216633,0.36549519662310564,-0.9612853749001844,-0.294697973143818
0,1,1,5,1,20,909327,38.82588,-76.847272,prince george's,MD,7412.9521716163845,0.17203865082619663,4.4788648670933116,0.7838779577962541,1.509323534192538
1,2,1,0,0,13,593490,39.300214,-76.610516,baltimore city,MD,7413.677982232052,1.3619726523740565,-0.6628472209944458,0.02036899974156231,0.7456194034640639
