fips,county,state,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25,long,lat,group,county_fips
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.766739,42.002995,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.766139,42.007695,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.763265,42.009742,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.763238,42.012795,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.761238,42.014595,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.759738,42.016995,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.761354,42.018183,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.76231,42.019775,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.762151,42.021527,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.760558,42.021846,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.758151,42.020865,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.757467,42.020947,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.754038,42.025395,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.751738,42.030195,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.753538,42.032095,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.757538,42.033295,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.755838,42.036195,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.695927,42.036788,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.643134,42.032395,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.607933,42.030795,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.606933,42.024995,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.590233,42.024695,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.582332,42.024695,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.573231,42.030141,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.528131,42.034295,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.50920405,42.03421659,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.492729,41.947497,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.51333,41.945401,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.51833,41.856899,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.49681,41.860616,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.507531,41.809698,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.476029,41.812997,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.463899,41.745572,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.448129,41.671898,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.429429,41.662299,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.409164,41.63035,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.410367,41.602581,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.417229,41.590598,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.46673,41.583899,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.505431,41.646999,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.54423,41.642696,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.630524,41.633282,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.713897,41.627705,09003.1,09003
9003,hartford,ct,0,0,0.001,0.005,0.019,0.064,0.15,0.279,0.452,0.623,0.791,0.893,-72.714538,41.60431,09003.1,09003
